GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US17031063000,17031063000,"Census Tract 630, Cook County, Illinois",394,82,20,22,15,26,0,11,4,8,0,11,0,11,11,18,18,29,0,11,0,11,46,40,14,16,81,52,44,42,47,39,94,51
1400000US17031063100,17031063100,"Census Tract 631, Cook County, Illinois",310,76,0,11,0,11,0,11,0,11,0,11,20,31,0,11,0,11,0,11,10,16,11,12,71,48,12,16,58,42,61,31,67,33
1400000US17031063200,17031063200,"Census Tract 632, Cook County, Illinois",931,188,100,125,0,16,0,16,29,46,0,16,14,22,0,16,48,73,49,58,16,26,40,46,96,71,102,82,97,75,179,93,161,90
1400000US17031063301,17031063301,"Census Tract 633.01, Cook County, Illinois",218,87,0,11,11,20,0,11,0,11,0,11,0,11,9,15,6,10,0,11,24,27,0,11,66,62,36,44,21,26,8,14,37,33
1400000US17031063302,17031063302,"Census Tract 633.02, Cook County, Illinois",479,163,24,35,0,11,14,23,0,11,0,11,0,11,0,11,22,35,0,11,13,21,15,25,119,83,51,50,63,67,76,45,82,62
1400000US17031063303,17031063303,"Census Tract 633.03, Cook County, Illinois",135,65,9,15,0,11,0,11,0,11,3,6,0,11,9,14,0,11,4,6,0,11,26,42,22,24,10,12,7,8,34,19,11,16
1400000US17031063400,17031063400,"Census Tract 634, Cook County, Illinois",216,72,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,23,0,11,16,20,0,11,22,25,20,16,17,20,39,32,83,44
1400000US17031070101,17031070101,"Census Tract 701.01, Cook County, Illinois",663,234,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,81,69,110,85,57,65,48,41,49,51,318,216
1400000US17031070102,17031070102,"Census Tract 701.02, Cook County, Illinois",219,86,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,68,69,8,15,31,50,31,33,48,65,33,26
1400000US17031070103,17031070103,"Census Tract 701.03, Cook County, Illinois",208,125,9,14,0,11,0,11,12,18,0,11,0,11,0,11,20,33,0,11,0,11,8,12,0,11,7,13,0,11,140,136,12,12
1400000US17031070200,17031070200,"Census Tract 702, Cook County, Illinois",658,128,0,11,15,23,0,11,0,11,0,11,0,11,0,11,0,11,7,13,0,11,28,33,44,40,102,68,65,71,49,42,348,118
1400000US17031070300,17031070300,"Census Tract 703, Cook County, Illinois",440,92,8,12,0,11,12,17,0,11,0,11,8,13,14,17,0,11,0,11,0,11,29,30,29,36,66,39,53,44,68,37,153,56
1400000US17031070400,17031070400,"Census Tract 704, Cook County, Illinois",610,92,0,11,22,34,5,8,0,11,0,11,0,11,0,11,0,11,17,19,41,39,26,25,9,14,88,65,38,38,78,47,286,68
1400000US17031070500,17031070500,"Census Tract 705, Cook County, Illinois",506,91,0,11,0,11,0,11,0,11,0,11,20,21,14,22,7,15,0,11,7,11,22,24,0,11,33,27,0,11,59,35,344,89
